id,session_part,times,times_rounded_floor,times_rounded_full,times_rounded_one_digit,ao5,ao12,ao25
1,1,27.71,27,28,27.7,NA,NA,NA
2,1,29.1,29,29,29.1,NA,NA,NA
3,1,34.38,34,34,34.4,NA,NA,NA
4,1,26.33,26,26,26.3,NA,NA,NA
5,1,25,25,25,25,27.7133333333333,NA,NA
6,1,28.82,28,29,28.8,28.0833333333333,NA,NA
7,1,24.57,24,25,24.6,26.7166666666667,NA,NA
8,1,29.18,29,29,29.2,26.7166666666667,NA,NA
9,1,26.46,26,26,26.5,26.76,NA,NA
10,1,33.56,33,34,33.6,28.1533333333333,NA,NA
11,1,35.19,35,35,35.2,29.7333333333333,NA,NA
12,1,23.93,23,24,23.9,29.7333333333333,28.511,NA
13,1,22.68,22,23,22.7,27.9833333333333,28.133,NA
14,1,22.11,22,22,22.1,26.7233333333333,27.491,NA
15,1,30.56,30,31,30.6,25.7233333333333,27.109,NA
16,1,27.28,27,27,27.3,24.63,27.204,NA
17,1,26.42,26,26,26.4,25.46,27.346,NA
18,1,24.22,24,24,24.2,25.9733333333333,26.886,NA
19,1,23.83,23,24,23.8,25.9733333333333,26.812,NA
20,1,30.56,30,31,30.6,25.9733333333333,26.95,NA
21,1,26.03,26,26,26,25.5566666666667,26.907,NA
22,1,26,26,26,26,25.4166666666667,26.151,NA
23,1,26.95,26,27,26.9,26.3266666666667,25.26,NA
24,1,24.39,24,24,24.4,26.3266666666667,25.3111111111111,NA
25,1,28.79,28,29,28.8,26.3266666666667,25.99,27.25
26,2,33.32,33,33,33.3,27.2466666666667,27.12,27.4939130434783
27,2,23.27,23,23,23.3,26.71,26.447,27.2404347826087
28,2,26.6,26,27,26.6,26.5933333333333,26.379,26.9021739130435
29,2,28.54,28,29,28.5,27.9766666666667,26.591,26.9982608695652
30,2,18.98,18,19,19,26.1366666666667,26.496,26.8726086956522
31,2,26.97,26,27,27,25.6133333333333,26.81,26.7921739130435
32,2,24.99,24,25,25,26.1866666666667,26.253,26.8104347826087
33,2,27.93,27,28,27.9,26.63,26.443,26.7560869565217
34,2,30.07,30,30,30.1,26.63,26.85,26.9130434782609
35,2,27.46,27,27,27.5,27.4533333333333,26.901,26.6478260869565
36,2,24.15,24,24,24.1,26.7933333333333,26.877,26.2491304347826
37,2,25.6,25,26,25.6,26.9966666666667,26.558,26.3217391304348
38,2,26.85,26,27,26.9,26.6366666666667,26.236,26.5030434782609
39,2,30.24,30,30,30.2,26.6366666666667,26.916,26.8565217391304
40,2,25.46,25,25,25.5,25.97,26.802,26.6347826086957
41,2,25.72,25,26,25.7,26.0566666666667,26.52,26.5669565217391
42,2,29,29,29,29,27.19,27.005,26.6791304347826
43,2,27.51,27,28,27.5,27.41,27.059,26.8221739130435
44,2,25.42,25,25,25.4,26.23,27.102,26.8913043478261
45,2,32.38,32,32,32.4,27.41,27.333,26.9704347826087
46,2,31.68,31,32,31.7,29.3966666666667,27.494,27.2160869565217
47,2,26.51,26,27,26.5,28.5666666666667,27.399,27.2382608695652
48,2,24.7,24,25,24.7,27.87,27.399,27.1404347826087
49,2,30.95,30,31,30.9,29.7133333333333,27.934,27.425652173913
50,2,32.41,32,32,32.4,29.7133333333333,28.487,27.5830434782609
51,3,29.9,29,30,29.9,29.12,28.453,27.4739130434783
52,3,21.47,21,21,21.5,28.5166666666667,28.377,27.395652173913
53,3,21.52,21,22,21.5,27.4566666666667,27.957,27.1747826086957
54,3,24.42,24,24,24.4,25.28,27.499,26.995652173913
55,3,32.55,32,33,32.5,25.28,27.989,27.4713043478261
56,3,34.54,34,35,34.5,26.1633333333333,28.702,27.7139130434783
57,3,28.5,28,28,28.5,28.49,28.314,27.8665217391304
58,3,32.77,32,33,32.8,31.2733333333333,28.423,28.0769565217391
59,3,30.36,30,30,30.4,31.8933333333333,28.808,28.0895652173913
60,3,25.57,25,26,25.6,30.5433333333333,28.895,28.0073913043478
61,3,25.2,25,25,25.2,28.1433333333333,28.32,28.0530434782609
62,3,23.45,23,23,23.4,27.0433333333333,27.424,27.9595652173913
63,3,30.47,30,30,30.5,27.0433333333333,27.481,28.1169565217391
64,3,19.77,19,20,19.8,24.74,27.481,27.735652173913
65,3,19.16,19,19,19.2,22.8066666666667,27.306,27.4882608695652
66,3,19.68,19,20,19.7,20.9666666666667,26.832,27.225652173913
67,3,21.85,21,22,21.9,20.4333333333333,25.762,26.9147826086957
68,3,25.58,25,26,25.6,20.4333333333333,25.043,26.8308695652174
69,3,20.55,20,21,20.6,20.6933333333333,24.248,26.6191304347826
70,3,28.34,28,28,28.3,22.66,24.035,26.4434782608696
71,3,21.11,21,21,21.1,22.8466666666667,23.11,25.9839130434783
72,3,24.57,24,25,24.6,23.7533333333333,23.01,25.8995652173913
73,3,22.21,22,22,22.2,22.63,22.711,25.7913043478261
74,3,24.42,24,24,24.4,23.7333333333333,22.808,25.5073913043478
75,3,23.65,23,24,23.6,23.4266666666667,22.339,25.1265217391304
76,4,29.97,29,30,30,24.2133333333333,23.196,25.1295652173913
77,4,29.96,29,30,30,26.01,24.224,25.4986956521739
78,4,22.93,22,23,22.9,26.01,24.462,25.56
79,4,25.83,25,26,25.8,26.48,24.86,25.6213043478261
80,4,19.86,19,20,19.9,26.24,24.357,25.0695652173913
81,4,24.38,24,24,24.4,24.38,24.74,24.7047826086957
82,4,25.94,25,26,25.9,24.38,24.5,24.5934782608696
83,4,31.12,31,31,31.1,25.3833333333333,25.386,24.5934782608696
84,4,34.43,34,34,34.4,27.1466666666667,26.041,24.6265217391304
85,4,31.25,31,31,31.2,29.4366666666667,26.945,24.8734782608696
86,4,24.04,24,24,24,29.4366666666667,26.907,24.8230434782609
87,4,23.19,23,23,23.2,28.8033333333333,26.861,24.8117391304348
88,4,27.58,27,28,27.6,27.6233333333333,26.622,24.6860869565217
89,4,30.66,30,31,30.7,27.4266666666667,26.692,25.1595652173913
90,4,27.33,27,27,27.3,26.3166666666667,27.132,25.4921739130435
91,4,32.56,32,33,32.6,28.5233333333333,27.805,26.044347826087
92,4,29.87,29,30,29.9,29.37,28.473,26.3930434782609
93,4,22.84,22,23,22.8,29.2866666666667,28.354,26.2739130434783
94,4,35.33,35,35,35.3,29.92,29.203,26.8773913043478
95,4,22.86,22,23,22.9,28.43,28.377,26.6391304347826
96,4,25.41,25,25,25.4,26.0466666666667,27.475,26.8260869565217
97,4,26.15,26,26,26.1,24.8066666666667,26.965,26.8947826086957
98,4,25.77,25,26,25.8,25.7766666666667,27.138,27.0495652173913
99,4,28.26,28,28,28.3,25.7766666666667,27.645,27.2165217391304
100,4,25.63,25,26,25.6,25.85,27.45,27.3026086956522
